"INTERNETMARKE Webservice","INTERNETMARKE Webservice"
"Account","Kontofunktionen"
"Buy credit","Portokasse laden"
"Renew password","Passwort vergessen"
"Partner ID","Partner-ID"
"Partner Identification","Kennzeichen des Versandpartners"
"Partner Signature","Signaturschlüssel"
"DPWN Marketplace Key","Schlüssel DPWN Marktplatz"
"Email Address","E-Mail-Adresse"
"Portokasse Credentials: Email Address","Zugangsdaten Portokasse: E-Mail-Adresse"
"Password","Passwort"
"Portokasse Credentials: Password","Zugangsdaten Portokasse: Passwort"
"Page Format","Druckformat"
"Page formats marked with (A) print addresses.","Druckformate, die mit (A) gekennzeichnet sind, können Adressen darstellen."
"Retrieve Page Formats","Druckformate abrufen"
"ID","ID"
"Ordered","Beauftragt"
"Shop Order ID","Bestellnummer"
"Order Items","Produkte"
"Item Amount","Wert"
"Created At","Erzeugt"
"Updated At","Aktualisiert"
"Franking Link","Internetmarke"
"Action","Aktion"
"DeutschePost_OneClickForApp::Order Internetmarke","Beauftragen"
"Delete","Löschen"
"DeutschePost_OneClickForApp::Print Shipping Labels","Frankierungen drucken"
"Please select a franking order.","Bitte wählen Sie einen Versandauftrag."
"Please select franking orders.","Bitte wählen Sie Versandaufträge."
"%d franking(s) were ordered successfully.","%d Frankierungen wurden erfolgreich abgerufen."
"The selected franking could not be ordered.","Die gewählte Frankierung konnte nicht beauftragt werden."
"The selected franking was ordered successfully.","Die gewählte Frankierung wurde erfolgreich abgerufen."
"A new order with %d cart items was submitted to the order interface.","Eine neue Bestellung über %d Frankierungen wurde an die Schnittstelle übertragen."
"Please configure a page format in the module configuration.","Bitte wählen Sie ein Druckformat in der Modulkonfiguration."
"The webservice request resulted in the following error: '%s'. Please review the logs.","Die Webservice-Anfrage ergab folgende Fehlermeldung: '%s'. Weitere Informationen finden Sie im Log."
"n/a","n/a"
"PDF","PDF"
"Total of %d order(s) have been deleted.","Es wurden %d Versandaufträge gelöscht."
"An error occurred while mass deleting items. Please review log and try again.","Während des Löschens von Versandaufträgen ist ein Fehler aufgetreten. Weitere Informationen finden Sie im Log."
"%d page formats were retrieved successfully.","%d Druckformate wurden erfolgreich abgerufen."
"An error occurred while retrieving page formats. Please review log and try again.","Während des Abrufens der Druckformate ist ein Fehler aufgetreten. Weitere Informationen finden Sie im Log."
