"Deutsche Post INTERNETMARKE","Deutsche Post INTERNETMARKE"
"The following prerequisites are not yet met:","The following prerequisites are not yet met:"
"INTERNETMARKE General Information","INTERNETMARKE General Information"
"Module","Module"
"Version:","Version:"
"Title","Title"
"Enabled","Enabled"
"Shipper Contact","Shipper Contact"
"Optional if <em>Store Name</em> is set.","Optional if <em>Store Name</em> is set."
"Enable Logging","Enable Logging"
"Please ensure that the Magento-Log is also activated. Data will be written to <em>internetmarke.log</em>.","Please ensure that the Magento-Log is also activated. Data will be written to <em>internetmarke.log</em>."
"Log Level","Log Level"
"Beware: Log level <em>Debug</em> will result in large log files.","Beware: Log level <em>Debug</em> will result in large log files."
"Error","Error"
"Debug","Debug"
"Order Internetmarke","Order Internetmarke"
"Yes","Yes"
"No","No"
"Product","Product"
"Service","Service"
"Validation Failure","Validation Failure"
"Not Empty","Not Empty"
"No product selected for shipping order.","No product selected for shipping order."
"The requested product combination does not exist.","The requested product combination does not exist."
"The Deutsche Post INTERNETMARKE order could not be created.","The Deutsche Post INTERNETMARKE order could not be created."
